#Data 
CU[]	Spawn[]	lnRSobs[]
1	7755	1.207083835
1	29358	0.231591783
1	22035	0.799068155
1	19941	0.550594549
1	4210	0.863216673
1	17504	-1.095161965
1	18612	-0.857716313
1	27696	-0.723769563
1	33235	-1.103091769
1	6647	-0.318175483
1	4985	0.081742263
1	2548	1.808189773
1	8863	1.094269158
1	8863	1.238654581
1	3877	2.312235197
1	1329	3.144773046
1	6647	0.505234476
1	15510	0.171096148
1	19941	-0.165754003
1	19941	-0.408448239
1	33235	-0.403868681
1	1994	2.555514562
1	10525	0.593155542
1	14402	0.502617079
1	8863	0.85675601
1	8863	1.124829259
1	23265	0.48341412
1	11078	1.052543296
1	14402	0.584851018
1	16543	0.52066273
1	11078	1.30648265
1	24373	0.785291156
1	17725	0.944843012
1	16618	0.219580564
1	14402	-0.128250693
1	18833	0.134953914
1	27696	-0.435575218
1	26588	0.364036166
1	20495	0.957945179
1	5539	1.279703127
1	12063	0.218289969
1	19590	0.384224334
1	4337	1.872503667
1	64594	-1.402045851
1	15919	1.236204367
1	13298	1.701521141
1	11466	1.512046978
1	35021	0.138703428
1	983	3.248767885
1	29491	-0.422808098
1	79009	-0.496828931
1	44220	0.149460126
1	36337	-1.088722006
1	30443	-1.886534603
2	1067	-1.132101037
2	267	1.575220629
2	88	3.070356017
2	293	2.373611299
2	95	3.204931459
2	780	1.64565245
2	1311	1.094084796
2	1381	0.365013981
2	2860	-1.029530432
2	550	0.493162477
2	4832	-1.254348967
3	42485	0.561985161
3	133007	-0.672585826
3	21587	2.035635129
3	77002	1.234540066
3	68409	0.198664522
3	29888	1.537336154
3	31977	1.475978825
3	95242	0.294713628
3	62457	1.015695929
3	89905	1.364736734
3	82164	0.544899972
3	34049	1.189285137
3	52692	0.407164307
3	140253	-0.315544979
3	109851	-1.468624672
3	60353	0.835754094
3	13336	0.677900707
3	54679	1.681769144
3	32032	0.809391788
3	42455	-0.147508904
3	31679	1.439380647
3	46466	0.621126598
3	93630	-0.689830991
3	26965	0.65069681
3	26503	1.386345654
3	75649	-0.563658662
3	26865	1.357311106
3	38206	0.965489869
3	42435	0.826305934
3	18412	1.160938221
3	21328	1.564909643
3	58719	1.090139146
3	52358	1.891822274
3	16646	2.149221156
3	25124	-0.625865765
3	79679	0.142049395
3	60909	2.321586884
3	92245	-0.354433117
3	43130	0.816258662
3	63692	-0.628567498
3	84558	-0.22191302
3	232802	-1.78632096
3	29324	1.593684669
3	55028	-1.134244213
3	39546	0.508211446
3	25141	-0.348192049
3	40874	0.551000271
3	52862	0.924761113
3	28667	-0.371677942
3	20503	-0.980994032
3	20455	1.155486489
3	64622	0.374523385
3	60983	-0.300596995
3	8760	-1.423705477
3	20322	0.113185196
4	112920	1.534940829
4	467457	0.495943868
4	354597	1.088220457
4	193636	2.054452569
4	396889	0.051248742
4	313242	0.762891318
4	243131	1.410226434
4	296655	1.468050716
4	267415	0.751182661
4	345342	1.272598794
4	327830	0.414929722
4	436876	0.170136405
4	309504	0.405632891
4	236140	0.61893922
4	291444	-0.670316346
4	118485	2.377037227
4	163137	0.049606556
4	199711	1.342471623
4	57402	1.4237103
4	357449	-0.293903017
4	197031	1.918727179
4	113332	1.969661123
4	159595	0.851873403
4	103027	1.276098691
4	204447	1.331640769
4	623637	-0.177941366
4	167437	1.925029049
4	237400	1.784666303
4	241974	2.176970336
4	132563	2.037069751
4	198864	0.148510985
4	432582	-0.189447488
4	582914	0.11658475
4	595377	-0.643387142
4	132299	-1.324685081
4	69506	1.200830566
4	143305	2.596931086
4	129975	0.682036535
4	97880	1.086118439
4	155040	-0.039360476
4	185020	0.94229366
4	617401	-1.134980282
4	130726	1.316665602
4	99284	-0.373517736
4	249231	0.154374268
4	163178	-0.783690015
4	137660	0.440757963
4	100762	1.110803528
4	93158	-0.652804081
4	93791	-0.64008671
4	74126	1.48151087
4	152998	0.895015442
4	112218	0.428756569
4	39602	-0.756112795
4	133779	1.052421286
5	12298	1.303450514
5	33657	-0.006888265
5	16828	1.298951354
5	56280	1.133855932
5	35960	0.231620347
5	11094	1.420868211
5	15196	0.499744178
5	24201	0.174358647
5	55410	-0.1862704
5	32575	1.336379179
5	7423	2.066232578
5	8381	1.933609413
5	10277	1.100924276
5	32179	-0.172872119
5	38189	-1.524918652
5	28686	0.843140594
5	8022	0.086190546
5	15573	0.682391386
5	3931	1.227848947
5	21765	-0.576759377
5	11166	1.233270849
5	7178	0.987530347
5	4827	1.183241526
5	8904	1.119709881
5	8065	1.994555189
5	17229	0.096752978
5	3874	2.604922213
5	15786	0.641377694
5	23459	0.858489737
5	7701	1.514230427
5	7395	0.648998641
5	24980	-0.121096236
5	8426	2.558837662
5	21962	0.979063734
5	7560	-0.377438686
5	6555	1.557716942
5	7975	2.942638344
5	34660	-0.047818043
5	16545	2.000773122
5	22946	0.799191387
5	19982	1.553381111
5	47818	-0.435756494
5	24573	0.695942499
5	83151	-2.375768045
5	51747	-0.219096436
5	31371	-1.219541788
5	12515	1.274127714
5	12595	2.468033631
5	12744	0.658165705
5	18341	-1.027215241
5	6065	2.497604155
5	43110	0.891282128
5	82348	-0.740995076
5	7960	-1.794842422
5	14701	0.133871235
6	3800	0.842845329
6	3268	0.379014336
6	5000	0.203100691
6	9935	-0.452354244
6	2300	1.930529416
6	2400	2.792072175
6	2247	0.817475028
6	200	2.792075791
6	1008	1.509499855
6	600	2.644936695
6	2637	0.753479131
