#Data 
CU[]	Spawn[]	lnRSobs[]	year[]
1	7755	1.207083835	1
1	29358	0.231591783	2
1	22035	0.799068155	3
1	19941	0.550594549	4
1	4210	0.863216673	5
1	17504	-1.095161965	6
1	18612	-0.857716313	7
1	27696	-0.723769563	8
1	33235	-1.103091769	9
1	6647	-0.318175483	10
1	4985	0.081742263	11
1	2548	1.808189773	12
1	8863	1.094269158	13
1	8863	1.238654581	14
1	3877	2.312235197	15
1	1329	3.144773046	16
1	6647	0.505234476	17
1	15510	0.171096148	18
1	19941	-0.165754003	19
1	19941	-0.408448239	20
1	33235	-0.403868681	21
1	1994	2.555514562	22
1	10525	0.593155542	23
1	14402	0.502617079	24
1	8863	0.85675601	25
1	8863	1.124829259	26
1	23265	0.48341412	27
1	11078	1.052543296	28
1	14402	0.584851018	29
1	16543	0.52066273	30
1	11078	1.30648265	31
1	24373	0.785291156	32
1	17725	0.944843012	33
1	16618	0.219580564	34
1	14402	-0.128250693	35
1	18833	0.134953914	36
1	27696	-0.435575218	37
1	26588	0.364036166	38
1	20495	0.957945179	39
1	5539	1.279703127	40
1	12063	0.218289969	41
1	19590	0.384224334	42
1	4337	1.872503667	43
1	64594	-1.402045851	44
1	15919	1.236204367	45
1	13298	1.701521141	46
1	11466	1.512046978	47
1	35021	0.138703428	48
1	983	3.248767885	49
1	29491	-0.422808098	50
1	79009	-0.496828931	51
1	44220	0.149460126	52
1	36337	-1.088722006	53
1	30443	-1.886534603	54
2	1067	-1.132101037	44
2	267	1.575220629	46
2	88	3.070356017	47
2	293	2.373611299	48
2	95	3.204931459	49
2	780	1.64565245	50
2	1311	1.094084796	51
2	1381	0.365013981	52
2	2860	-1.029530432	53
2	550	0.493162477	54
2	4832	-1.254348967	55
3	42485	0.561985161	1
3	133007	-0.672585826	2
3	21587	2.035635129	3
3	77002	1.234540066	4
3	68409	0.198664522	5
3	29888	1.537336154	6
3	31977	1.475978825	7
3	95242	0.294713628	8
3	62457	1.015695929	9
3	89905	1.364736734	10
3	82164	0.544899972	11
3	34049	1.189285137	12
3	52692	0.407164307	13
3	140253	-0.315544979	14
3	109851	-1.468624672	15
3	60353	0.835754094	16
3	13336	0.677900707	17
3	54679	1.681769144	18
3	32032	0.809391788	19
3	42455	-0.147508904	20
3	31679	1.439380647	21
3	46466	0.621126598	22
3	93630	-0.689830991	23
3	26965	0.65069681	24
3	26503	1.386345654	25
3	75649	-0.563658662	26
3	26865	1.357311106	27
3	38206	0.965489869	28
3	42435	0.826305934	29
3	18412	1.160938221	30
3	21328	1.564909643	31
3	58719	1.090139146	32
3	52358	1.891822274	33
3	16646	2.149221156	34
3	25124	-0.625865765	35
3	79679	0.142049395	36
3	60909	2.321586884	37
3	92245	-0.354433117	38
3	43130	0.816258662	39
3	63692	-0.628567498	40
3	84558	-0.22191302	41
3	232802	-1.78632096	42
3	29324	1.593684669	43
3	55028	-1.134244213	44
3	39546	0.508211446	45
3	25141	-0.348192049	46
3	40874	0.551000271	47
3	52862	0.924761113	48
3	28667	-0.371677942	49
3	20503	-0.980994032	50
3	20455	1.155486489	51
3	64622	0.374523385	52
3	60983	-0.300596995	53
3	8760	-1.423705477	54
3	20322	0.113185196	55
4	112920	1.534940829	1
4	467457	0.495943868	2
4	354597	1.088220457	3
4	193636	2.054452569	4
4	396889	0.051248742	5
4	313242	0.762891318	6
4	243131	1.410226434	7
4	296655	1.468050716	8
4	267415	0.751182661	9
4	345342	1.272598794	10
4	327830	0.414929722	11
4	436876	0.170136405	12
4	309504	0.405632891	13
4	236140	0.61893922	14
4	291444	-0.670316346	15
4	118485	2.377037227	16
4	163137	0.049606556	17
4	199711	1.342471623	18
4	57402	1.4237103	19
4	357449	-0.293903017	20
4	197031	1.918727179	21
4	113332	1.969661123	22
4	159595	0.851873403	23
4	103027	1.276098691	24
4	204447	1.331640769	25
4	623637	-0.177941366	26
4	167437	1.925029049	27
4	237400	1.784666303	28
4	241974	2.176970336	29
4	132563	2.037069751	30
4	198864	0.148510985	31
4	432582	-0.189447488	32
4	582914	0.11658475	33
4	595377	-0.643387142	34
4	132299	-1.324685081	35
4	69506	1.200830566	36
4	143305	2.596931086	37
4	129975	0.682036535	38
4	97880	1.086118439	39
4	155040	-0.039360476	40
4	185020	0.94229366	41
4	617401	-1.134980282	42
4	130726	1.316665602	43
4	99284	-0.373517736	44
4	249231	0.154374268	45
4	163178	-0.783690015	46
4	137660	0.440757963	47
4	100762	1.110803528	48
4	93158	-0.652804081	49
4	93791	-0.64008671	50
4	74126	1.48151087	51
4	152998	0.895015442	52
4	112218	0.428756569	53
4	39602	-0.756112795	54
4	133779	1.052421286	55
5	12298	1.303450514	1
5	33657	-0.006888265	2
5	16828	1.298951354	3
5	56280	1.133855932	4
5	35960	0.231620347	5
5	11094	1.420868211	6
5	15196	0.499744178	7
5	24201	0.174358647	8
5	55410	-0.1862704	9
5	32575	1.336379179	10
5	7423	2.066232578	11
5	8381	1.933609413	12
5	10277	1.100924276	13
5	32179	-0.172872119	14
5	38189	-1.524918652	15
5	28686	0.843140594	16
5	8022	0.086190546	17
