"AgeComp","Year","RunAge3","RunAge4","RunAge5","RunAge6","RunAge7","Total"
"NassAgg",1982,0,0.083748635,0.846326656,0.069924709,0,1
"NassAgg",1983,0.002315816,0.281427483,0.606468874,0.109787827,0,1
"NassAgg",1984,0,0.106160824,0.728382647,0.165456529,0,1
"NassAgg",1985,0,0.364451672,0.491614693,0.143933635,0,1
"NassAgg",1986,0,0.132622769,0.644000854,0.223376378,0,1.000000001
"NassAgg",1987,0,0.129601692,0.773605014,0.096793294,0,1
"NassAgg",1988,0,0.136010654,0.784110386,0.079878961,0,1.000000001
"NassAgg",1989,0.000374361,0.19666536,0.474319811,0.328640469,0,1.000000001
"NassAgg",1990,0.000908059,0.195419309,0.671114129,0.132558504,0,1.000000001
"NassAgg",1991,0,0.492894209,0.454125805,0.052979985,0,0.999999999
"NassAgg",1992,0,0.533878504,0.422396225,0.043248939,0,0.999523668
"NassAgg",1993,0,0.319795463,0.604478549,0.075725988,0,1
"NassAgg",1994,0.01,0.156,0.734,0.1,0,1
"NassAgg",1995,0.004,0.487,0.435,0.074,0,1
"NassAgg",1996,0.008,0.13,0.784,0.078,0,1
"NassAgg",1997,0.004430471,0.361767059,0.517108134,0.116730642,0,1.000036306
"NassAgg",1998,0.016642956,0.198358879,0.710231019,0.075212872,0,1.000445726
"NassAgg",1999,0.01018541,0.345252092,0.587090076,0.057472422,0,1
"NassAgg",2000,0.017,0.381,0.391,0.211,0,1
"NassAgg",2001,0.00304478,0.281668601,0.492096292,0.223190327,0,1
"NassAgg",2002,0.015,0.479406359,0.46750104,0.038336428,0,1.000243827
"NassAgg",2003,0.004428574,0.162221697,0.706094598,0.127255131,0,1
"NassAgg",2004,0.007478168,0.268534833,0.66356018,0.060426819,0,1
"NassAgg",2005,0.008492154,0.212844151,0.624746694,0.153917001,0,1
"NassAgg",2006,0.007578773,0.257095801,0.516366329,0.218955723,0,0.999996626
"NassAgg",2007,0.00913979,0.079616763,0.613546004,0.297219101,0,0.999521658
"NassAgg",2008,0.022302749,0.325354056,0.540270276,0.111575061,0,0.999502142
"NassAgg",2009,0.016566208,0.190392453,0.665322489,0.12771885,0,1
"NassAgg",2010,0.008878532,0.177311765,0.734765105,0.079044599,0,1.000000001
"NassAgg",2011,0.01464919,0.155744025,0.701619121,0.127987664,0,1
"NassAgg",2012,0.013361839,0.089791555,0.654195617,0.242650989,0,1
"NassAgg",2013,0.006493506,0.20211039,0.587662338,0.203733766,0,1
"NassAgg",2014,0.057093426,0.126297578,0.648788927,0.167820069,0,1
"NassAgg",2015,0.017003676,0.423713235,0.407628676,0.151654412,0,0.999999999
"NassAgg",2016,0.04238921,0.201348748,0.63583815,0.120423892,0,1
"NassAgg",2017,0.064044944,0.097752809,0.55505618,0.283146067,0,1
"NassAgg",2018,0.191077441,0.294612795,0.373737374,0.140572391,0,1.000000001
"NassAgg",2019,0.065748004,0.507346522,0.352276898,0.074628576,0,1
"SkeenaAgg",1970,0.107260761,0.598924729,0.29381451,0,0,1
"SkeenaAgg",1971,0.027998956,0.581431984,0.39056906,0,0,1
"SkeenaAgg",1972,0.13458077,0.220097511,0.645321719,0,0,1
"SkeenaAgg",1973,0.086021411,0.47675435,0.437224239,0,0,1
"SkeenaAgg",1974,0.094423255,0.306158789,0.599417956,0,0,1
"SkeenaAgg",1975,0.084330005,0.692041263,0.223628732,0,0,1
"SkeenaAgg",1976,0.14860065,0.316885928,0.534513422,0,0,1
"SkeenaAgg",1977,0.019314537,0.457539014,0.523146449,0,0,1
