"AgeComp","Year","RunAge3","RunAge4","RunAge5","RunAge6","RunAge7","Total"
"DamdochaxAvg",1954,0,0.333333333,0.625,0.041666667,0,1
"DamdochaxAvg",1955,0,0.333333333,0.625,0.041666667,0,1
"DamdochaxAvg",1956,0,0.333333333,0.625,0.041666667,0,1
"DamdochaxAvg",1957,0,0.333333333,0.625,0.041666667,0,1
"DamdochaxAvg",1958,0,0.333333333,0.625,0.041666667,0,1
"DamdochaxAvg",1959,0,0.333333333,0.625,0.041666667,0,1
"DamdochaxAvg",1960,0,0.333333333,0.625,0.041666667,0,1
"DamdochaxAvg",1961,0,0.333333333,0.625,0.041666667,0,1
"DamdochaxAvg",1962,0,0.333333333,0.625,0.041666667,0,1
"DamdochaxAvg",1963,0,0.333333333,0.625,0.041666667,0,1
"DamdochaxAvg",1964,0,0.333333333,0.625,0.041666667,0,1
"DamdochaxAvg",1965,0,0.333333333,0.625,0.041666667,0,1
"DamdochaxAvg",1966,0,0.333333333,0.625,0.041666667,0,1
"DamdochaxAvg",1967,0,0.333333333,0.625,0.041666667,0,1
"DamdochaxAvg",1968,0,0.333333333,0.625,0.041666667,0,1
"DamdochaxAvg",1969,0,0.333333333,0.625,0.041666667,0,1
"DamdochaxAvg",1970,0,0.333333333,0.625,0.041666667,0,1
"DamdochaxAvg",1971,0,0.333333333,0.625,0.041666667,0,1
"DamdochaxAvg",1972,0,0.333333333,0.625,0.041666667,0,1
"DamdochaxAvg",1973,0,0.333333333,0.625,0.041666667,0,1
"DamdochaxAvg",1974,0,0.333333333,0.625,0.041666667,0,1
"DamdochaxAvg",1975,0,0.333333333,0.625,0.041666667,0,1
"DamdochaxAvg",1976,0,0.333333333,0.625,0.041666667,0,1
"DamdochaxAvg",1977,0,0.333333333,0.625,0.041666667,0,1
"DamdochaxAvg",1978,0,0.333333333,0.625,0.041666667,0,1
"DamdochaxAvg",1979,0,0.333333333,0.625,0.041666667,0,1
"DamdochaxAvg",1980,0,0.333333333,0.625,0.041666667,0,1
"DamdochaxAvg",1981,0,0.333333333,0.625,0.041666667,0,1
"DamdochaxAvg",1982,0,0.333333333,0.625,0.041666667,0,1
"DamdochaxAvg",1983,0,0.333333333,0.625,0.041666667,0,1
"DamdochaxAvg",1984,0,0.333333333,0.625,0.041666667,0,1
"DamdochaxAvg",1985,0,0.333333333,0.625,0.041666667,0,1
"DamdochaxAvg",1986,0,0.333333333,0.625,0.041666667,0,1
"DamdochaxAvg",1987,0,0.333333333,0.625,0.041666667,0,1
"DamdochaxAvg",1988,0,0.333333333,0.625,0.041666667,0,1
"DamdochaxAvg",1989,0,0.333333333,0.625,0.041666667,0,1
"DamdochaxAvg",1990,0,0.333333333,0.625,0.041666667,0,1
"DamdochaxAvg",1991,0,0.333333333,0.625,0.041666667,0,1
"DamdochaxAvg",1992,0,0.333333333,0.625,0.041666667,0,1
"DamdochaxAvg",1993,0,0.333333333,0.625,0.041666667,0,1
"DamdochaxAvg",1994,0,0.333333333,0.625,0.041666667,0,1
"DamdochaxAvg",1995,0,0.333333333,0.625,0.041666667,0,1
"DamdochaxAvg",1996,0,0.333333333,0.625,0.041666667,0,1
"DamdochaxAvg",1997,0,0.333333333,0.625,0.041666667,0,1
"DamdochaxAvg",1998,0,0.333333333,0.625,0.041666667,0,1
"DamdochaxAvg",1999,0,0.333333333,0.625,0.041666667,0,1
"DamdochaxAvg",2000,0,0.333333333,0.625,0.041666667,0,1
"DamdochaxAvg",2001,0,0.333333333,0.625,0.041666667,0,1
"DamdochaxAvg",2002,0,0.333333333,0.625,0.041666667,0,1
"DamdochaxAvg",2003,0,0.333333333,0.625,0.041666667,0,1
"DamdochaxAvg",2004,0,0.333333333,0.625,0.041666667,0,1
"DamdochaxAvg",2005,0,0.333333333,0.625,0.041666667,0,1
"DamdochaxAvg",2006,0,0.333333333,0.625,0.041666667,0,1
"DamdochaxAvg",2007,0,0.333333333,0.625,0.041666667,0,1
"DamdochaxAvg",2008,0,0.333333333,0.625,0.041666667,0,1
"DamdochaxAvg",2009,0,0.333333333,0.625,0.041666667,0,1
"DamdochaxAvg",2010,0,0.333333333,0.625,0.041666667,0,1
"DamdochaxAvg",2011,0,0.333333333,0.625,0.041666667,0,1
"DamdochaxAvg",2012,0,0.333333333,0.625,0.041666667,0,1
"DamdochaxAvg",2013,0,0.333333333,0.625,0.041666667,0,1
"DamdochaxAvg",2014,0,0.333333333,0.625,0.041666667,0,1
"DamdochaxAvg",2015,0,0.333333333,0.625,0.041666667,0,1
"DamdochaxAvg",2016,0,0.333333333,0.625,0.041666667,0,1
"DamdochaxAvg",2017,0,0.333333333,0.625,0.041666667,0,1
"DamdochaxAvg",2018,0,0.333333333,0.625,0.041666667,0,1
"DamdochaxAvg",2019,0,0.333333333,0.625,0.041666667,0,1
"BowserAvg",1954,0,0.260416667,0.59375,0.145833333,0,1
"BowserAvg",1955,0,0.260416667,0.59375,0.145833333,0,1
"BowserAvg",1956,0,0.260416667,0.59375,0.145833333,0,1
"BowserAvg",1957,0,0.260416667,0.59375,0.145833333,0,1
"BowserAvg",1958,0,0.260416667,0.59375,0.145833333,0,1
"BowserAvg",1959,0,0.260416667,0.59375,0.145833333,0,1
"BowserAvg",1960,0,0.260416667,0.59375,0.145833333,0,1
"BowserAvg",1961,0,0.260416667,0.59375,0.145833333,0,1
"BowserAvg",1962,0,0.260416667,0.59375,0.145833333,0,1
"BowserAvg",1963,0,0.260416667,0.59375,0.145833333,0,1
"BowserAvg",1964,0,0.260416667,0.59375,0.145833333,0,1
"BowserAvg",1965,0,0.260416667,0.59375,0.145833333,0,1
"BowserAvg",1966,0,0.260416667,0.59375,0.145833333,0,1
"BowserAvg",1967,0,0.260416667,0.59375,0.145833333,0,1
"BowserAvg",1968,0,0.260416667,0.59375,0.145833333,0,1
"BowserAvg",1969,0,0.260416667,0.59375,0.145833333,0,1
"BowserAvg",1970,0,0.260416667,0.59375,0.145833333,0,1
"BowserAvg",1971,0,0.260416667,0.59375,0.145833333,0,1
"BowserAvg",1972,0,0.260416667,0.59375,0.145833333,0,1
"BowserAvg",1973,0,0.260416667,0.59375,0.145833333,0,1
"BowserAvg",1974,0,0.260416667,0.59375,0.145833333,0,1
"BowserAvg",1975,0,0.260416667,0.59375,0.145833333,0,1
"BowserAvg",1976,0,0.260416667,0.59375,0.145833333,0,1
"BowserAvg",1977,0,0.260416667,0.59375,0.145833333,0,1
"BowserAvg",1978,0,0.260416667,0.59375,0.145833333,0,1
"BowserAvg",1979,0,0.260416667,0.59375,0.145833333,0,1
"BowserAvg",1980,0,0.260416667,0.59375,0.145833333,0,1
"BowserAvg",1981,0,0.260416667,0.59375,0.145833333,0,1
"BowserAvg",1982,0,0.260416667,0.59375,0.145833333,0,1
"BowserAvg",1983,0,0.260416667,0.59375,0.145833333,0,1
"BowserAvg",1984,0,0.260416667,0.59375,0.145833333,0,1
"BowserAvg",1985,0,0.260416667,0.59375,0.145833333,0,1
"BowserAvg",1986,0,0.260416667,0.59375,0.145833333,0,1
"BowserAvg",1987,0,0.260416667,0.59375,0.145833333,0,1
"BowserAvg",1988,0,0.260416667,0.59375,0.145833333,0,1
"BowserAvg",1989,0,0.260416667,0.59375,0.145833333,0,1
"BowserAvg",1990,0,0.260416667,0.59375,0.145833333,0,1
"BowserAvg",1991,0,0.260416667,0.59375,0.145833333,0,1
"BowserAvg",1992,0,0.260416667,0.59375,0.145833333,0,1
"BowserAvg",1993,0,0.260416667,0.59375,0.145833333,0,1
"BowserAvg",1994,0,0.260416667,0.59375,0.145833333,0,1
"BowserAvg",1995,0,0.260416667,0.59375,0.145833333,0,1
"BowserAvg",1996,0,0.260416667,0.59375,0.145833333,0,1
"BowserAvg",1997,0,0.260416667,0.59375,0.145833333,0,1
"BowserAvg",1998,0,0.260416667,0.59375,0.145833333,0,1
"BowserAvg",1999,0,0.260416667,0.59375,0.145833333,0,1
"BowserAvg",2000,0,0.260416667,0.59375,0.145833333,0,1
"BowserAvg",2001,0,0.260416667,0.59375,0.145833333,0,1
"BowserAvg",2002,0,0.260416667,0.59375,0.145833333,0,1
"BowserAvg",2003,0,0.260416667,0.59375,0.145833333,0,1
"BowserAvg",2004,0,0.260416667,0.59375,0.145833333,0,1
"BowserAvg",2005,0,0.260416667,0.59375,0.145833333,0,1
"BowserAvg",2006,0,0.260416667,0.59375,0.145833333,0,1
"BowserAvg",2007,0,0.260416667,0.59375,0.145833333,0,1
"BowserAvg",2008,0,0.260416667,0.59375,0.145833333,0,1
"BowserAvg",2009,0,0.260416667,0.59375,0.145833333,0,1
"BowserAvg",2010,0,0.260416667,0.59375,0.145833333,0,1
"BowserAvg",2011,0,0.260416667,0.59375,0.145833333,0,1
"BowserAvg",2012,0,0.260416667,0.59375,0.145833333,0,1
"BowserAvg",2013,0,0.260416667,0.59375,0.145833333,0,1
"BowserAvg",2014,0,0.260416667,0.59375,0.145833333,0,1
"BowserAvg",2015,0,0.260416667,0.59375,0.145833333,0,1
"BowserAvg",2016,0,0.260416667,0.59375,0.145833333,0,1
"BowserAvg",2017,0,0.260416667,0.59375,0.145833333,0,1
"BowserAvg",2018,0,0.260416667,0.59375,0.145833333,0,1
"BowserAvg",2019,0,0.260416667,0.59375,0.145833333,0,1
"MeziadinAvg",1954,0.011052632,0.251052632,0.627894737,0.109649123,0,0.999649123
"MeziadinAvg",1955,0.011052632,0.251052632,0.627894737,0.109649123,0,0.999649123
"MeziadinAvg",1956,0.011052632,0.251052632,0.627894737,0.109649123,0,0.999649123
"MeziadinAvg",1957,0.011052632,0.251052632,0.627894737,0.109649123,0,0.999649123
"MeziadinAvg",1958,0.011052632,0.251052632,0.627894737,0.109649123,0,0.999649123
"MeziadinAvg",1959,0.011052632,0.251052632,0.627894737,0.109649123,0,0.999649123
"MeziadinAvg",1960,0.011052632,0.251052632,0.627894737,0.109649123,0,0.999649123
