"LkSeq","Watershed","Lake","NumStk","Stks","Basin","Watershed_area_km2","Stream_order","Elevation_m","Surface_area_ha","Average_depth_m","Maximum_depth","Volume_m3","Clarity","Productivity","Area_km2","LastLim","Rmax_SmoltKgpH","Smax_Spn","Source","YrsDens","YrsWt","YrsFallFry","LastSurv","PercEffSpn","Smax_Spn_Lower","Smax_Spn_Upper","p10","p50","p90"
1,"Meziadin","Meziadin",1,"Meziadin","Nass",530,NA,246,3600,45,120,NA,"Clear",NA,33.21,2008,NA,175032,2,9,8,1,2017,14.57,106419.456,243644.544,223051.64451146,321930.790884811,525601.58213992
2,"Bell-Irving","Bowser",1,"Bowser","Nass",NA,NA,NA,NA,NA,NA,NA,"","",34.09,2008,NA,5610,2,NA,NA,NA,NA,0,3410.88,7809.12,NA,NA,NA
3,"Bell-Irving","Oweegee",1,"Oweegee","Nass",NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
4,"Kwinageese","Fred Wright",1,"Kwinageese","Nass",NA,NA,572,393,18,41,NA,"Clear",NA,3.97,1978,NA,20195,2,9,1,9,2012,0.18,12278.56,28111.44,2134.14051074131,3326.2213391124,7619.1646450217
5,"Kwinageese","Kwinageese",1,"Kwinageese","Nass",NA,NA,NA,NA,NA,NA,NA,"","",2.66,2008,NA,19074,2,NA,NA,NA,NA,0.18,11596.992,26551.008,2134.14051074131,3326.2213391124,7619.1646450217
6,"Damdochax","Damdochax",1,"Damdochax","Nass",116,5,590,148,9.6,21,NA,"Clear",NA,1.48,2008,NA,4862,2,5,5,5,2017,0.1,2956.096,6767.904,2176.42623630043,2824.68303766241,4277.3929035241
7,"Damdochax","Wiiminosik",1,"Damdochax","Nass",116,5,614,38,10.7,25,4100000,"Clear",NA,NA,NA,NA,NA,NA,4,4,4,2017,0.1,NA,NA,2176.42623630043,2824.68303766241,4277.3929035241
8,"Ecstall","Johnston",1,"Johnston","Skeena",1485,4,24,193,45,77,NA,"Clear",NA,1.87,2005,5.4,4125,1,4,4,4,2019,0.13,2508,5742,NA,NA,NA
9,"Ecstall","Ecstall",1,"Ecstall","Skeena",1485,4,35,90,7,20,NA,"Stained",NA,1.02,NA,NA,NA,NA,3,3,3,2019,0,NA,NA,NA,NA,NA
10,"Gitnadoix","Alastair",1,"Alastair","Skeena",546,3,45,686,21,79,NA,"Clear","Eutrophic",6.9,1996,8.2719,23437.05,1,5,5,4,2019,2.5,14249.7264,32624.3736,21026.0950049149,27556.1089560141,40634.1704015654
11,"Lakelse","Lakelse",1,"Lakelse","Skeena",589,5,77,1360,9.5,32,118000000,"Clear","Oligotrophic",13.64,2003,6,35916.16107,1,13,11,13,2018,1.3,21837.02593056,49995.29620944,9026.95004463425,12306.8731019331,18761.2204706662
