"Aggregate","Year","TotalCt","RawSpn","TotalRunMainAges","Total.Run","EnhSurplus","EffSpn","AgeComp","RunAge3","RunAge4","RunAge5","RunAge6","RunAge7","TotalSpnExp","ExpFactorLabel","SpnBaseCV","SpnAddCV","CtCV","SpnCVTotal","EffSpnSE","CtSE","RunSE","EffSpn_Lower","EffSpn_Upper","CT_Lower","CT_Upper","Run_Lower","Run_Upper","RecAge3","RecAge4","RecAge5","RecAge6","RecAge7","RecTotalNA","RecAgesUse","RecTotal","RpS","LogRpS","Spn","Rec","SpnExp","PercRecAge3","PercRecAge4","PercRecAge5","PercRecAge6","PercRecAge7","OddSpnVal","OddSpnFlag","OddRecVal","OddRecFlag","OddProdVal","OddProdFlag","OddExpVal","OddExpFlag","NumFlagsMain","NumFlagsAll"
"Nass",1982,570749,350009,NA,920758,0,350009,"NassAgg",0,0.083748635,0.846326656,0.069924709,0,1,"None",0.03,0.2,0.1,0.23,80502.07,57074.9,98681.9511577213,189004.86,511013.14,456599.2,684898.8,723394.097684557,1118121.90231544,0,87382.49003872,435434.412600096,32042.64641554,0,554859.549054356,554859.549054356,554859.549054356,1.58527223315502,0.46075614851465,350009,554859.549054356,1,0,0.1575,0.7848,0.0577,0,1.54,FALSE,0.9,FALSE,1.59,FALSE,1,FALSE,0,0
"Nass",1983,405941,209431,NA,615372,0,209431,"NassAgg",0.002315816,0.281427483,0.606468874,0.109787827,0,1,"None",0.03,0.2,0.1,0.23,48169.13,40594.1,62993.2221732378,113092.74,305769.26,324752.8,487129.2,489385.555653524,741358.444346476,0,72948.126765888,314538.04024004,192807.447633858,0,580293.614639786,580293.614639786,580293.614639786,2.77081050388809,1.01913987808164,209431,580293.614639786,1,0,0.1257,0.542,0.3323,0,0.92,FALSE,0.95,FALSE,2.77,FALSE,1,FALSE,0,0
"Nass",1984,341063,201972,NA,543035,0,201972,"NassAgg",0,0.106160824,0.728382647,0.165456529,0,1,"None",0.03,0.2,0.1,0.23,46453.56,34106.3,57629.6185686111,109064.88,294879.12,272850.4,409275.6,427775.762862778,658294.237137222,0,54559.31374556,278274.895357102,60927.069842496,0,393761.278945158,393761.278945158,393761.278945158,1.94958350140197,0.667615760737639,201972,393761.278945158,1,0,0.1386,0.7067,0.1547,0,0.89,FALSE,0.64,FALSE,1.95,FALSE,1,FALSE,0,0
"Nass",1985,434261,407046,NA,841307,0,407046,"NassAgg",0,0.364451672,0.491614693,0.143933635,0,1,"None",0.03,0.2,0.1,0.23,93620.58,43426.1,103201.933900225,219804.84,594287.16,347408.8,521113.2,634903.13219955,1047710.86780045,0,115380.02673552,308460.160427496,50807.646675045,0,474647.833838061,474647.833838061,474647.833838061,1.16607910122704,0.153646925444641,407046,474647.833838061,1,0,0.2431,0.6499,0.107,0,1.79,FALSE,0.77,FALSE,1.17,FALSE,1,FALSE,0,0
"Nass",1986,445184,213696,NA,658880,0,213696,"NassAgg",0,0.132622769,0.644000854,0.223376378,0,1,"None",0.03,0.2,0.1,0.23,49150.08,44518.4,66314.5406571319,115395.84,311996.16,356147.2,534220.8,526250.918685736,791509.081314264,219.630860202,89819.404479816,435505.284617585,84771.293857242,0,610315.613814845,610315.613814845,610315.613814845,2.85599924104731,1.04942177873756,213696,610315.613814845,1,4e-04,0.1472,0.7136,0.1389,0,0.94,FALSE,0.99,FALSE,2.86,FALSE,1,FALSE,0,0
"Nass",1987,352702,210162,NA,562864,0,210162,"NassAgg",0,0.129601692,0.773605014,0.096793294,0,1,"None",0.03,0.2,0.1,0.23,48337.26,35270.2,59837.0931141178,113487.48,306836.52,282161.6,423242.4,443189.813771764,682538.186228235,417.365709816,472684.067748373,827929.54790555,162854.946725016,0,1463885.92808876,1463885.92808876,1463885.92808876,6.96551197689761,1.94097111162252,210162,1463885.92808876,1,3e-04,0.3229,0.5656,0.1112,0,0.92,FALSE,2.39,FALSE,6.97,FALSE,1,FALSE,0,0
"Nass",1988,245346,155794,NA,401140,0,155794,"NassAgg",0,0.136010654,0.784110386,0.079878961,0,1,"None",0.03,0.2,0.1,0.23,35832.62,24534.6,43427.217884921,84128.76,227459.24,196276.8,294415.2,314285.564230158,487994.435769842,0,1046443.51036331,1299980.68686552,83713.7,0,2430137.89722883,2430137.89722883,2430137.89722883,15.5984049272041,2.74716866077163,155794,2430137.89722883,1,0,0.4306,0.5349,0.0344,0,0.68,FALSE,3.96,FALSE,15.6,TRUE,1,FALSE,1,1
"Nass",1989,459265,127417,NA,586682,0,127417,"NassAgg",0.000374361,0.19666536,0.474319811,0.328640469,0,1,"None",0.03,0.2,0.1,0.23,29305.91,45926.5,54480.0859321835,68805.18,186028.82,367412,551118,477721.828135633,695642.171864367,0,687746.366409466,614458.558,86485.798,0,1388690.72240947,1388690.72240947,1388690.72240947,10.8987868369956,2.38865148368266,127417,1388690.72240947,1,0,0.4952,0.4425,0.0623,0,0.56,FALSE,2.26,FALSE,10.9,FALSE,1,FALSE,0,0
"Nass",1990,282162,177462,NA,459624,0,177462,"NassAgg",0.000908059,0.195419309,0.671114129,0.132558504,0,1,"None",0.03,0.2,0.1,0.23,40816.26,28216.2,49619.7644374457,95829.48,259094.52,225729.6,338594.4,360384.471125109,558863.528874891,0,130593.372,508396.245,82259.034,0,721248.651,721248.651,721248.651,4.06424277310072,1.40222744596754,177462,721248.651,1,0,0.1811,0.7049,0.1141,0,0.78,FALSE,1.18,FALSE,4.06,FALSE,1,FALSE,0,0
"Nass",1991,650280,308717,NA,958997,0,308717,"NassAgg",0,0.492894209,0.454125805,0.052979985,0,1,"None",0.03,0.2,0.1,0.23,71004.91,65028,96282.5946270046,166707.18,450726.82,520224,780336,766431.810745991,1151562.18925401,8371.37,569170.049,826808.752,116118.856705278,0,1520469.02770528,1520469.02770528,1520469.02770528,4.92512245099971,1.59434913746212,308717,1520469.02770528,1,0.0055,0.3743,0.5438,0.0764,0,1.35,FALSE,2.48,FALSE,4.93,FALSE,1,FALSE,0,0
