"Stock","Year","T_Idx_E","TE","CDN.Harvest","TRTC","Total.Harvest","Total.Run","TotalSpnExp","EffSpn","Expl_R","Expl_S","AgeComp","RunAge3","RunAge4","RunAge5","RunAge6","RunAge7","Total","ExpFactorLabel","SpnBaseCV","SpnAddCV","CtCV","SpnCVTotal","SpnSE","EffSpnSE","CtSE","RunSE","TE_Lower","TE_Upper","EffSpn_Lower","EffSpn_Upper","CT_Lower","CT_Upper","Run_Lower","Run_Upper","RecAge3","RecAge4","RecAge5","RecAge6","RecAge7","RecTotalNA","RecAgesUse","RecTotal","RpS","LogRpS","PercCdnCt","TotalER","Spn","Rec","SpnExp","PercRecAge3","PercRecAge4","PercRecAge5","PercRecAge6","PercRecAge7","OddSpnVal","OddSpnFlag","OddRecVal","OddRecFlag","OddProdVal","OddProdFlag","OddExpVal","OddExpFlag","NumFlagsMain","NumFlagsAll"
"Alastair",1954,NA,NA,NA,NA,NA,NA,NA,NA,4141,NA,"AlastairAvg",0,0.033149171,0.552486188,0.414364641,0,1,NA,NA,0.1,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4739.77505105089,0,NA,NA,4739.77505105089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,0,0
"Alastair",1955,NA,NA,NA,NA,NA,NA,NA,NA,21881,NA,"AlastairAvg",0,0.033149171,0.552486188,0.414364641,0,1,NA,NA,0.1,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6319.70006806786,17485.6653695369,0,NA,NA,23805.3654376047,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2655,0.7345,0,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,0,0
"Alastair",1956,NA,NA,NA,NA,NA,NA,NA,NA,36364,NA,"AlastairAvg",0,0.033149171,0.552486188,0.414364641,0,1,NA,NA,0.1,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,379.182000881248,23314.2204927158,13679.5809858745,0,37372.9834794716,37372.9834794716,37372.9834794716,NA,NA,NA,NA,NA,37372.9834794716,NA,NA,0.0101,0.6238,0.366,0,NA,FALSE,1.47,FALSE,NA,FALSE,NA,FALSE,0,0
"Alastair",1957,NA,NA,NA,NA,NA,NA,NA,NA,29000,NA,"AlastairAvg",0,0.033149171,0.552486188,0.414364641,0,1,NA,NA,0.1,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1398.8532177473,18239.4413144993,10381.6242211389,0,30019.9187533855,30019.9187533855,30019.9187533855,NA,NA,NA,NA,NA,30019.9187533855,NA,0,0.0466,0.6076,0.3458,0,NA,FALSE,1.18,FALSE,NA,FALSE,NA,FALSE,0,0
"Alastair",1958,NA,NA,NA,NA,NA,NA,NA,NA,17821,NA,"AlastairAvg",0,0.033149171,0.552486188,0.414364641,0,1,NA,NA,0.1,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1094.36646962621,13842.1656281852,2571.34587378628,0,17507.8779715977,17507.8779715977,17507.8779715977,NA,NA,NA,NA,NA,17507.8779715977,NA,0,0.0625,0.7906,0.1469,0,NA,FALSE,0.69,FALSE,NA,FALSE,NA,FALSE,0,0
"Alastair",1959,NA,NA,NA,NA,NA,NA,NA,NA,13063,NA,"AlastairAvg",0,0.033149171,0.552486188,0.414364641,0,1,NA,NA,0.1,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,830.529930675902,3428.46116504837,9979.85058014242,0,14238.8416758667,14238.8416758667,14238.8416758667,NA,NA,NA,NA,NA,14238.8416758667,NA,0,0.0583,0.2408,0.7009,0,NA,FALSE,0.56,FALSE,NA,FALSE,NA,FALSE,0,0
"Alastair",1960,3500,7754.898063,2831.289797,10586.18786,3683.759055,11438.65712,2.22,7754.898063,24892,7851,"AlastairAvg",0,0.033149171,0.552486188,0.414364641,0,1,"Moderate",0.1,0.1,0.3,0.2,1550.9796126,1550.9796126,1105.1277165,1904.42774304444,4652.9388378,10856.8572882,4652.9388378,10856.8572882,1473.503622,5894.014488,7629.80163391111,15247.5126060889,0,205.707668165358,13306.4674401899,12418.0294219853,0,25930.2045303406,25930.2045303406,25930.2045303406,3.34371958466588,1.20708383544612,77,32,7754.898063,25930.2045303406,2.22,0,0.0079,0.5132,0.4789,0,0.49,FALSE,1.02,FALSE,3.34,FALSE,1,FALSE,0,0
"Alastair",1961,13250,29357.82838,12378.88744,41736.71582,12840.9107,42198.73908,2.22,29357.82838,34115,29720,"AlastairAvg",0,0.033149171,0.552486188,0.414364641,0,1,"Moderate",0.1,0.1,0.3,0.2,5871.565676,5871.565676,3852.27321,7022.48477193543,17614.697028,41100.959732,17614.697028,41100.959732,5136.36428,20545.45712,28153.7695361291,56243.7086238709,0,798.388039667676,16557.3725626471,19652.8653162763,0,37008.6259185911,37008.6259185911,37008.6259185911,1.2606050229452,0.231591782655964,96,30,29357.82838,37008.6259185911,2.22,0,0.0216,0.4474,0.531,0,1.87,FALSE,1.45,FALSE,1.26,FALSE,1,FALSE,0,0
"Alastair",1962,9945,22034.98892,9598.53971,31633.52863,10978.39985,33013.38877,2.22,22034.98892,45957,22307,"AlastairAvg",0,0.033149171,0.552486188,0.414364641,0,1,"Moderate",0.1,0.1,0.3,0.2,4406.997784,4406.997784,3293.519955,5501.71820090452,13220.993352,30848.984488,13220.993352,30848.984488,4391.35994,17565.43976,22009.9523681909,44016.825171809,0,993.44234536755,26203.8204217017,21796.8307643904,0,48994.0935314597,48994.0935314597,48994.0935314597,2.22346803573794,0.799068155213356,87,33,22034.98892,48994.0935314597,2.22,0,0.0203,0.5348,0.4449,0,1.4,FALSE,1.92,FALSE,2.22,FALSE,1,FALSE,0,0
"Alastair",1963,9000,19941.16645,3816.245636,23757.41208,5113.153332,25054.31978,2.22,19941.16645,34251,20187,"AlastairAvg",0,0.033149171,0.552486188,0.414364641,0,1,"Moderate",0.1,0.1,0.3,0.2,3988.23329,3988.23329,1533.9459996,4273.05454039064,11964.69987,27917.63303,11964.69987,27917.63303,2045.2613328,8181.0453312,16508.2106992187,33600.4288607813,0,1572.22921202201,29062.4410191872,3948.97223977975,0,34583.642470989,34583.642470989,34583.642470989,1.73428382726272,0.550594548506175,75,20,19941.16645,34583.642470989,2.22,0,0.0455,0.8404,0.1142,0,1.27,FALSE,1.36,FALSE,1.73,FALSE,1,FALSE,0,0
