StkSeq,Basin,LifeHistory,LHAZ,LHAZShort,LHAZSeq,Watershed,Stock,StkNmS,StartYr,SpnAddCV,CtCV,Notes,ER_Indicator,PercEffSpn,NumCU,ListCU,NumRR,LastRR,SpnExpMed,SpnExpMax,NumSRExpl,LastSRExpl,NumSurvLk,NumDens,NumWt,NumFallFry,LastLkSurv,GSI_Samples,NumSites,GSI_Years,AgeComp,NumAge,RunAge3,RunAge4,RunAge5,RunAge6,RunAge7,AgesUse,NumSpn,NumRec,NumSR,PercSpnLabel,ContrX,NumObsX,LgSpnX,LgRecX,SmSpnX,SmRecX,LgExpX,ContrVal,NumObsVal,LgSpnVal,LgRecVal,SmSpnVal,SmRecVal,LgExpVal,OddSpn,OddRec,OddProd,OddExp
1,Nass,Sea/River,Nass Sea/River Type,Nass SRT,1,Lower Nass Tribs,Lower Nass Sea & River Type,LNassSRT,2000,0.1,0.3,,Gingit+,1.85,1,LNR-P,38,2019,2.72,2.72,0,NA,0,0,0,0,NA,532,3,7 (1987-2014),LowerNassSRTAnnual,40,41.4,58.5,0,0,0,"3,4",38,34,34,2,-,-,-,-,-,-,-,82.93,34,1.23,1,1,1,2.72,0,1,5,0
2,Nass,Lake,Upper Nass Lake Type,U Nass LT,2,Meziadin,Meziadin,Meziadin,1990,0,0.2,,Meziadin,14.57,1,Mezia,38,2019,1,1,33,2014,1,9,8,1,2017,784,4,5 (2001-2018),MeziadinAnnual,57,1.1,25.1,62.8,11,0,"3,4,5,6",38,35,32,15,-,-,-,-,-,-,-,11.84,32,1,1,1,1,1,0,0,1,0
3,Nass,Lake,Upper Nass Lake Type,U Nass LT,2,Bell-Irving,Bowser,Bowser,1990,0.1,0.3,,NA,NA,1,Bows,0,NA,NA,NA,0,NA,0,0,0,0,NA,827,1,7 (1986-2001),BowserAvg,1,0,26,59.4,14.6,0,NA,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Nass,Lake,Upper Nass Lake Type,U Nass LT,2,Bell-Irving,Oweegee,Oweege,1990,0.1,0.3,,NA,NA,1,Oweeg,0,NA,NA,NA,0,NA,0,0,0,0,NA,NA,0,NA,MeziadinAvg,1,1.1,25.1,62.8,11,0,NA,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Nass,Lake,Upper Nass Lake Type,U Nass LT,2,Kwinageese,Kwinageese,Kwinag,1990,0.1,0.3,,Kwinagees,0.36,2,"FredWr, Kwinag",35,2019,1,1,0,NA,1,9,1,9,2012,738,2,7 (1987-2001),KwinageeseAnnual,33,1.4,50.5,45.2,2.8,0,"3,4,5,6",35,21,21,<1,X,-,-,-,-,-,-,520.83,21,1,1,1,1,1,5,0,4,0
6,Nass,Lake,Upper Nass Lake Type,U Nass LT,2,Damdochax,Damdochax,Damdoch,1990,0.1,0.3,,Damdochax,0.2,1,Damdo,37,2019,1,1,26,2012,2,9,9,9,2017,557,1,6 (1987-2001),DamdochaxAvg,1,0,33.3,62.5,4.2,0,"4,5,6",37,33,29,<1,-,-,-,-,-,-,-,32.43,29,1,1.17,1,1,1,0,0,4,0
7,Nass,River,Nass River Type,Nass RT,3,Upper Nass Tribs,Upper Nass River Type,UNassRT,1990,0.1,0.3,,BrownBear,0.05,1,UNR,20,2019,1,1.31,0,NA,0,0,0,0,NA,237,1,7 (1997-2013),UpperNassRTAvg,1,2.9,61.7,32,3.4,0,"3,4,5,6",20,11,11,<1,X,-,-,-,-,-,-,1301,11,1.72,1,0.5,1,1,3,0,3,0
8,Skeena,Lake,Lower Skeena Lake Type,L Skeena LT,4,Ecstall,Johnston,Johnston,1980,0.1,0.3,,NA,0.13,1,Johnst,31,2019,2,2.05,0,NA,1,4,4,4,2019,121,1,1 (2010),BabineAvg,1,6.9,44.1,49,0,0,"3,4,5",31,11,11,<1,X,-,-,-,-,-,-,3750,11,1,1,1,1,2,2,0,3,0
9,Skeena,Lake,Lower Skeena Lake Type,L Skeena LT,4,Ecstall,Ecstall,Ecstall,1990,0.1,0.3,,NA,NA,1,Ecst/Lw,0,NA,NA,NA,0,NA,1,3,3,3,2019,NA,0,NA,BabineAvg,1,6.9,44.1,49,0,0,NA,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,Skeena,Lake,Lower Skeena Lake Type,L Skeena LT,4,Gitnadoix,Alastair,Alastair,1990,0.1,0.3,,Alastair,2.5,1,Alas,60,2019,2.22,3.01,54,2014,1,5,5,4,2019,354,1,5 (1987-2006),AlastairAvg,1,0,3.3,55.2,41.4,0,"4,5,6",60,58,54,2,-,-,-,-,-,-,-,80.36,54,1,1,1,1,2.22,2,0,4,0
