StkSeq,Stock,StkNmS,SmsyUse
1,Lower Nass Sea & River Type,LNassSRT,
2,Meziadin,Meziadin,
3,Bowser,Bowser,
4,Oweegee,Oweege,
5,Kwinageese,Kwinag,
6,Damdochax,Damdoch,
7,Upper Nass River Type,UNassRT,
8,Johnston,Johnston,
9,Ecstall,Ecstall,
10,Alastair,Alastair,
11,Lakelse,Lakelse,
12,Kitsumkalum,Kitsumk,
13,Mcdonell,Mcdonell,
14,Kitwanga,Kitwanga,
15,Upper Bulkley Lakes,UBulkLk,
16,Morice,Morice,
17,Swan/Stephens,SwanSteph,
18,Babine Early Wild,Bab-EW,
19,Babine Late Wild,Bab-LW,
20,Babine Mid Wild,Bab-MW,
21,Pinkut,Pinkut,
22,Fulton,Fulton,
23,Sicintine,Sicintine,
24,Slamgeesh,Slamg,
25,Motase ,Motase,
26,Bear,Bear,
27,Asitka,Asitka,
28,Sustut,Sustut,
29,Kluantantan,Kluant,
30,Kluayaz,Kluayaz,
31,Skeena River Type,Skeena RT,
