"Stock","Model","ReportLabel","ReportSeq","ModelType","NumSRObs","FirstBY","LastBY","SpnContr","median","mean","cv","p2.5","p25","p75","p97.5","Rhat","n.eff"
"Nass","NassAR197","AR197",5,"AR1",17,1997,2013,2.46133768748445,776019.225057523,653086.001088739,0.60782484602328,254708.283518896,509404.11316917,1213969.91655753,1902697.60025788,1.00062749728467,2300
"Nass","NassAR1AllYr","AR1",2,"AR1",32,1982,2013,5.28059835029863,389348.797110198,383624.14520095,0.330330180039964,228410.536202931,314100.74325844,493774.848656077,1090569.34828576,1.00426622945491,940
"Nass","NassBasic97","BR97",4,"Basic",17,1997,2013,2.46133768748445,586925.11824203,458464.325506195,0.710059117057491,160916.957632364,337408.007521206,1022941.02580919,1867562.24461112,1.00057493057861,2300
"Nass","NassBasicAllYr","BR",1,"Basic",32,1982,2013,5.28059835029863,370572.031985458,370836.847965587,0.353360128574782,219466.435246292,299638.559025419,490275.104175508,1161234.98660693,1.0005778660056,2300
"Nass","NassKalman97","KF97",6,"Kalman",17,1997,2013,2.46133768748445,533085.153001856,477538.104950282,0.57635283730791,202511.908643436,355858.674383494,897550.105737514,1834168.0338916,1.00090908777385,7200
"Nass","NassKalmanAllYr","KF",3,"Kalman",32,1982,2013,5.28059835029863,324534.238455973,324703.901860747,0.242951919644998,218882.194885711,279596.623780187,384311.959247008,634426.194144389,1.00274668000039,1400
"Skeena","SkeenaAR1AllYr","AR1",3,"AR1",45,1970,2014,4.90476212265747,1811462.73662408,1577721.44271043,0.535894986946693,673565.800894223,1206498.44383223,2776085.57224742,4208334.17044695,1.00148862027068,1600
"Skeena","SkeenaBasicAllYr","BR",1,"Basic",45,1970,2014,4.90476212265747,1150131.60464778,1068956.37392063,0.256325016796191,636565.629363992,961581.047751576,1318320.70847962,1485793.06837611,1.00154949030133,2300
"Skeena","SkeenaBasicAllYrUP","Bru",2,"Basic",45,1970,2014,4.90476212265747,1879126.60680193,1619206.78517437,0.524332476149928,704586.738892515,1244392.70764269,2775142.60711857,4167243.48548861,1.00110940579413,2300
"Skeena","SkeenaKalmanAllYr","KF",4,"Kalman",45,1970,2014,4.90476212265747,2048247.62679209,1749864.94481898,0.53242327865267,737127.192004579,1362424.84513219,3004664.38023296,4238106.61427299,1.00124750677012,3900
"SkeenaWild","SkeenaWildAR198","AR198",5,"AR1",45,1970,2014,7.57565119973627,543500.759014472,535803.806175178,0.382121756709233,300642.62406956,423618.696906478,729975.701244697,1909682.80321522,1.00183091357223,1400
"SkeenaWild","SkeenaWildAR1AllYr","AR1",2,"AR1",45,1970,2014,7.57565119973627,543500.759014472,535803.806175178,0.382121756709233,300642.62406956,423618.696906478,729975.701244697,1909682.80321522,1.00183091357223,1400
"SkeenaWild","SkeenaWildBasic98","BR98",4,"Basic",45,1970,2014,7.57565119973627,566866.504291145,564587.45602368,0.38259046983245,323664.77464948,445126.30423399,778333.85950951,2101630.79351611,1.00058061124916,2300
"SkeenaWild","SkeenaWildBasicAllYr","BR",1,"Basic",45,1970,2014,7.57565119973627,566866.504291145,564587.45602368,0.38259046983245,323664.77464948,445126.30423399,778333.85950951,2101630.79351611,1.00058061124916,2300
"SkeenaWild","SkeenaWildKalman98","KF98",6,"Kalman",45,1970,2014,7.57565119973627,556940.378407723,555247.41690779,0.360173365985999,321590.143310301,446258.026871202,745165.228564538,1787224.20678503,1.00086407817692,7200
"SkeenaWild","SkeenaWildKalmanAllYr","KF",3,"Kalman",45,1970,2014,7.57565119973627,556940.378407723,555247.41690779,0.360173365985999,321590.143310301,446258.026871202,745165.228564538,1787224.20678503,1.00086407817692,7200
"Alastair","AlastairAR198","AR198",6,"AR1",16,1998,2013,80.3577231581338,22795.2854062926,22259.0235802356,0.224218114973684,14827.1810808502,19476.3012504929,26852.560717316,33666.526001084,1.00118078768991,2300
"Alastair","AlastairAR1AllYr","AR1",4,"AR1",54,1960,2013,80.3577231581338,20051.7440501804,20012.2233650336,0.151394523971888,15330.2995583752,18244.3919008463,22264.804989476,28217.8495756478,1.00101077425785,2300
