"Stock","Model","ReportLabel","ReportSeq","ModelType","NumSRObs","FirstBY","LastBY","SpnContr","pD","DIC","max.Rhat","med.sigma","med.deviance","ln.alpha.num","ln.alpha.max.cv","ln.alpha.min.n.eff","ln.alpha.med.n.eff","ln.alpha.max.n.eff","beta.cv","beta.n.eff","sigma.cv","sigma.n.eff"
"Nass","NassAR197","AR197",5,"AR1",17,1997,2013,2.46133768748445,4.53347355478545,3.72861138250593,1.00260370090601,-1.46160374051908,-1.46160374051908,1,0.210068513045926,2300,2300,2300,0.60782484602328,2300,0.197429788695156,2200
"Nass","NassAR1AllYr","AR1",2,"AR1",32,1982,2013,5.28059835029863,5.17034784671116,21.1107232228951,1.00549795149936,15.2709565482078,15.2709565482078,1,0.154203510935077,2300,2300,2300,0.330330180039964,940,0.140223361323983,2300
"Nass","NassBasic97","BR97",4,"Basic",17,1997,2013,2.46133768748445,2.68187577743995,8.62970893241841,1.00469230175326,5.2615722577534,5.2615722577534,1,0.263113591517289,2300,2300,2300,0.710059117057491,2300,0.193255130843396,2300
"Nass","NassBasicAllYr","BR",1,"Basic",32,1982,2013,5.28059835029863,3.964255761886,32.5730741129398,1.00193613270865,27.8898971451288,27.8898971451288,1,0.153645712030864,2300,2300,2300,0.353360128574782,2300,0.138327295400117,1100
"Nass","NassKalman97","KF97",6,"Kalman",17,1997,2013,2.46133768748445,115.382148013831,91.7141089691771,1.00215635197222,-21.4964296440604,-21.4964296440604,17,0.584783367389367,1900,7200,7200,0.57635283730791,7200,0.433994289085957,2200
"Nass","NassKalmanAllYr","KF",3,"Kalman",32,1982,2013,5.28059835029863,407.663888091587,363.840695840402,1.00335587142513,-41.5094151399386,-41.5094151399386,32,0.374673835515845,600,3100,7200,0.242951919644998,1400,0.435662903151703,1800
"Skeena","SkeenaAR1AllYr","AR1",3,"AR1",45,1970,2014,4.90476212265747,3.8747441543738,181.464115787155,1.00148862027068,176.845897766959,176.845897766959,1,0.232307560626238,2300,2300,2300,0.535894986946693,1600,0.11356815280954,2300
"Skeena","SkeenaBasicAllYr","BR",1,"Basic",45,1970,2014,4.90476212265747,2.55054705938038,179.372842783698,1.00520161038017,176.231254653507,176.231254653507,1,0.148420092950568,1700,1700,1700,0.256325016796191,2300,0.106570578415644,2300
"Skeena","SkeenaBasicAllYrUP","Bru",2,"Basic",45,1970,2014,4.90476212265747,2.58981562982022,179.202370698995,1.00150413115635,175.914571392192,175.914571392192,1,0.227450298305288,1600,1600,1600,0.524332476149928,2300,0.111427361275968,2300
"Skeena","SkeenaKalmanAllYr","KF",4,"Kalman",45,1970,2014,4.90476212265747,8.97399848172526,179.611008077931,1.00161922473196,170.47782647045,170.47782647045,45,0.435064057330537,3100,7200,7200,0.53242327865267,3900,0.116075176274276,7200
"SkeenaWild","SkeenaWildAR198","AR198",5,"AR1",45,1970,2014,7.57565119973627,4.2023759673728,72.0405447862885,1.00396523657451,67.2128158942632,67.2128158942632,1,0.27479609677126,820,820,820,0.382121756709233,1400,0.114117740589004,1100
"SkeenaWild","SkeenaWildAR1AllYr","AR1",2,"AR1",45,1970,2014,7.57565119973627,4.2023759673728,72.0405447862885,1.00396523657451,67.2128158942632,67.2128158942632,1,0.27479609677126,820,820,820,0.382121756709233,1400,0.114117740589004,1100
"SkeenaWild","SkeenaWildBasic98","BR98",4,"Basic",45,1970,2014,7.57565119973627,3.25741940699533,70.8039093399419,1.00081921152409,66.9151090277165,66.9151090277165,1,0.26348571254667,2300,2300,2300,0.38259046983245,2300,0.11085768678049,2300
"SkeenaWild","SkeenaWildBasicAllYr","BR",1,"Basic",45,1970,2014,7.57565119973627,3.25741940699533,70.8039093399419,1.00081921152409,66.9151090277165,66.9151090277165,1,0.26348571254667,2300,2300,2300,0.38259046983245,2300,0.11085768678049,2300
"SkeenaWild","SkeenaWildKalman98","KF98",6,"Kalman",45,1970,2014,7.57565119973627,14.1415678382166,67.018814434144,1.00645719464499,52.6105824129554,52.6105824129554,45,0.833906563636681,3100,7200,7200,0.360173365985999,7200,0.122600770405816,2900
"SkeenaWild","SkeenaWildKalmanAllYr","KF",3,"Kalman",45,1970,2014,7.57565119973627,14.1415678382166,67.018814434144,1.00645719464499,52.6105824129554,52.6105824129554,45,0.833906563636681,3100,7200,7200,0.360173365985999,7200,0.122600770405816,2900
"Alastair","AlastairAR198","AR198",6,"AR1",16,1998,2013,80.3577231581338,3.6626068342528,-65.1314750281014,1.00121459032161,-69.4375671440395,-69.4375671440395,1,0.243247584915298,2300,2300,2300,0.224218114973684,2300,0.199741395419007,2300
"Alastair","AlastairAR1AllYr","AR1",4,"AR1",54,1960,2013,80.3577231581338,4.35474899196121,-279.710018338389,1.00184950424569,-284.715223978532,-284.715223978532,1,0.140227723822234,2300,2300,2300,0.151394523971888,2300,0.100808364840379,2300
"Alastair","AlastairAR1AllYrUP","AR1u",5,"AR1",54,1960,2013,80.3577231581338,4.63443396105194,-279.388605047759,1.00254796834174,-284.719491378218,-284.719491378218,1,0.139660790853571,2300,2300,2300,0.15357304943092,2300,0.101780787739953,1900
"Alastair","AlastairBasic98","BR98",3,"Basic",16,1998,2013,80.3577231581338,2.97549632286335,-66.4481989843378,1.00207967146802,-70.018087509224,-70.018087509224,1,0.230993015853029,1900,1900,1900,0.22524839003547,990,0.202632696084637,2300
