"Stock","ReportSeq","ModelLabel","ReportLabel","ModelType","ReportDescription","n.chains","n.burnin","n.thin","n.samples","Kept"
"Nass",1,"NassBasicAllYr","BR","Basic","Basic Ricker fit with all available data. Default priors.",2,80000,60,150000,2333
"Nass",2,"NassAR1AllYr","AR1","AR1","AR1 fit with all available data. Default priors.",2,80000,60,150000,2333
"Nass",3,"NassKalmanAllYr","KF","Kalman","Time varying productivity fit with all available data. Default priors.",2,160000,80,450000,7250
"Nass",4,"NassBasic97","BR97","Basic","Basic Ricker fit with data starting in 1998 (reviewed data only). Default uninformative priors.",2,80000,60,150000,2333
"Nass",5,"NassAR197","AR197","AR1","AR1 fit with data starting in 1998 (reviewed data only).  Default uninformative priors.",2,80000,60,150000,2333
"Nass",6,"NassKalman97","KF97","Kalman","Time-varying productivity fit data starting in 1998 (reviewed data only).  Default uninformative priors.",2,160000,80,450000,7250
"Skeena",1,"SkeenaBasicAllYr","BR","Basic","Basic Ricker fit excluding pre-channel data. Informative capacity prior at sum of current channel loading targets plus estimated capacity below channels (557k) doubled to account for non-channel stocks' capacity .",2,80000,60,150000,2333
"Skeena",2,"SkeenaBasicAllYrUP","Bru","Basic","Basic Ricker fit excluding pre-channel data. Default uninformative priors.",2,80000,60,150000,2333
"Skeena",3,"SkeenaAR1AllYr","AR1","AR1","AR1 fit with all available data. Default priors.",2,80000,60,150000,2333
"Skeena",4,"SkeenaKalmanAllYr","KF","Kalman","Time varying productivity fit with all available data. Default priors.",2,160000,80,450000,7250
"SkeenaWild",1,"SkeenaWildBasicAllYr","BR","Basic","Basic Ricker fit with all available data. Default priors.",2,80000,60,150000,2333
"SkeenaWild",2,"SkeenaWildAR1AllYr","AR1","AR1","AR1 fit with all available data. Default uninformative priors.",2,80000,60,150000,2333
"SkeenaWild",3,"SkeenaWildKalmanAllYr","KF","Kalman","Time varying productivity fit with all available data. Default uninformative priors.",2,160000,80,450000,7250
"SkeenaWild",4,"SkeenaWildBasic98","BR98","Basic","Basic Ricker fit with data starting in 1998 (reviewed data only). Default uninformative priors.",2,80000,60,150000,2333
"SkeenaWild",5,"SkeenaWildAR198","AR198","AR1","AR1 fit with data starting in 1998 (reviewed data only).  Default uninformative priors.",2,80000,60,150000,2333
"SkeenaWild",6,"SkeenaWildKalman98","KF98","Kalman","Time-varying productivity fit  with data starting in 1998 (reviewed data only).  Default uninformative priors.",2,160000,80,450000,7250
"Meziadin",1,"MeziadinBasicAllYr","BR","Basic","Basic Ricker fit with all available data. Informative capacity prior based on PR model (175k,CV = X). Uninformative productivity prior.",2,80000,60,150000,2333
"Meziadin",2,"MeziadinBasicAllYrUP","BRu","Basic","Basic Ricker fit with all available data. Default uninformative capacity and productivity prior.",2,80000,60,150000,2333
"Meziadin",3,"MeziadinBasic97","BR97","Basic","Basic Ricker fit excluding pre-1997 (only use reviewed data). Informative capacity prior based on PR model (175k,CV = X). Uninformative productivity prior.",2,80000,60,150000,2333
"Meziadin",7,"MeziadinKalmanAllYr","KF","Kalman","Time varying productivity fit with all available data. Informative capacity prior based on PR model (175k,CV = X). Uninformative productivity prior.",2,160000,80,450000,7250
"Meziadin",8,"MeziadinKalmanAllYrUP","KFu","Kalman","Time varying productivity fit with all available data. Default uninformative priors.",2,160000,80,450000,7250
"Meziadin",9,"MeziadinKalman97","KF97","Kalman","Time-varying productivity fit excluding pre-1997 data (only use reviewed data).  Informative capacity prior based on PR model (175k,CV = X). Uninformative productivity prior.",2,160000,80,450000,7250
