"Stock","Model","ReportLabel","ReportSeq","ModelType","NumSRObs","YrIdx","Year","median","mean","cv","p2.5","p25","p75","p97.5","Rhat","n.eff"
"Nass","NassAR197","AR197",5,"AR1",17,NA,NA,1.24337777732132,1.27633584504811,0.210068513045926,0.853081897156553,1.08948130290447,1.42633798680769,1.88660978322018,1.00071707413385,2300
"Nass","NassAR1AllYr","AR1",2,"AR1",32,NA,NA,1.6866992298212,1.68296102463908,0.154203510935077,1.16914434858144,1.50562610888244,1.85717591204514,2.19312710298499,1.0006797486905,2300
"Nass","NassBasic97","BR97",4,"Basic",17,NA,NA,1.36085208135231,1.44485116163775,0.263113591517289,0.925312918666986,1.16773472481028,1.64110238348374,2.42851346594798,1.0009191954612,2300
"Nass","NassBasicAllYr","BR",1,"Basic",32,NA,NA,1.73193270598202,1.73052176855168,0.153645712030864,1.20850119985578,1.55240648337996,1.91154562293076,2.25944369617034,1.00057880153901,2300
"Nass","NassKalman97","KF97",6,"Kalman",17,17,2013,0.616055131410493,0.664142377632837,0.584783367389367,0.0516036277021798,0.381754876210053,0.904180232210271,1.54636413732375,1.00097246743632,7200
"Nass","NassKalman97","KF97",6,"Kalman",17,2,1998,2.08335184656714,2.10925696416853,0.171974959005739,1.44411095463193,1.87226239439239,2.33357473104394,2.8964319869257,1.00141637671569,2700
"Nass","NassKalmanAllYr","KF",3,"Kalman",32,32,2013,0.741577652070693,0.769538509898946,0.374673835515845,0.282676101687812,0.573519749941558,0.939055605023665,1.41339190945179,1.00160430313852,2000
"Nass","NassKalmanAllYr","KF",3,"Kalman",32,7,1988,2.99448241887672,2.96063130645317,0.0936457836326664,2.31408856698919,2.80472564009773,3.15270956790458,3.4124699448884,1.00088467631971,7200
"Skeena","SkeenaAR1AllYr","AR1",3,"AR1",45,NA,NA,1.34519732109601,1.39882992475338,0.232307560626238,0.90096546441514,1.16035192300146,1.59781105447666,2.18047506697374,1.00083043340587,2300
"Skeena","SkeenaBasicAllYr","BR",1,"Basic",45,NA,NA,1.62827333768365,1.6603380661375,0.148420092950568,1.2728609081076,1.48767075779491,1.78995892402706,2.25338619026313,1.00520161038017,1700
"Skeena","SkeenaBasicAllYrUP","Bru",2,"Basic",45,NA,NA,1.33228165041406,1.38295673762139,0.227450298305288,0.904331689466895,1.15226899637746,1.55651550705531,2.15233667527123,1.00150413115635,1600
"Skeena","SkeenaKalmanAllYr","KF",4,"Kalman",45,44,2013,0.954393342841275,0.956980407367473,0.435064057330537,0.153196606006425,0.686240956545005,1.21033919515163,1.79597578685827,1.00087622311823,7200
"Skeena","SkeenaKalmanAllYr","KF",4,"Kalman",45,12,1981,1.59005190674492,1.62145500414802,0.216555029760347,1.02763556038846,1.36970385488619,1.84027024630769,2.40482571388485,1.00091507234581,7200
"SkeenaWild","SkeenaWildAR198","AR198",5,"AR1",45,NA,NA,1.19327735576358,1.19914865269818,0.27479609677126,0.566320429114295,0.973563567478582,1.42112865472064,1.83640374953057,1.00396523657451,820
"SkeenaWild","SkeenaWildAR1AllYr","AR1",2,"AR1",45,NA,NA,1.19327735576358,1.19914865269818,0.27479609677126,0.566320429114295,0.973563567478582,1.42112865472064,1.83640374953057,1.00396523657451,820
"SkeenaWild","SkeenaWildBasic98","BR98",4,"Basic",45,NA,NA,1.15770595789626,1.15968593314942,0.26348571254667,0.575620652444876,0.950441360427506,1.36806192828558,1.74381158230287,1.00056924502459,2300
"SkeenaWild","SkeenaWildBasicAllYr","BR",1,"Basic",45,NA,NA,1.15770595789626,1.15968593314942,0.26348571254667,0.575620652444876,0.950441360427506,1.36806192828558,1.74381158230287,1.00056924502459,2300
"SkeenaWild","SkeenaWildKalman98","KF98",6,"Kalman",45,44,2013,0.497421003916435,0.494956836491912,0.833906563636681,-0.33516457721901,0.223936406084698,0.77136130746931,1.29204133607697,1.00086291732963,7200
"SkeenaWild","SkeenaWildKalman98","KF98",6,"Kalman",45,14,1983,1.6563903454179,1.66005767300841,0.224675976734145,0.952337242897413,1.40449907037413,1.90982249270991,2.41004353727804,1.00104542312361,7200
"SkeenaWild","SkeenaWildKalmanAllYr","KF",3,"Kalman",45,44,2013,0.497421003916435,0.494956836491912,0.833906563636681,-0.33516457721901,0.223936406084698,0.77136130746931,1.29204133607697,1.00086291732963,7200
"SkeenaWild","SkeenaWildKalmanAllYr","KF",3,"Kalman",45,14,1983,1.6563903454179,1.66005767300841,0.224675976734145,0.952337242897413,1.40449907037413,1.90982249270991,2.41004353727804,1.00104542312361,7200
"Alastair","AlastairAR198","AR198",6,"AR1",16,NA,NA,1.6286952637336,1.64208987714218,0.243247584915298,0.873749445338017,1.38151506467754,1.89122544601863,2.46484292747798,1.00057375754411,2300
"Alastair","AlastairAR1AllYr","AR1",4,"AR1",54,NA,NA,1.43084276786068,1.43454813917334,0.140227723822234,1.06928189289124,1.29639995811868,1.56928118340292,1.83393275265618,1.00139819405414,2300
"Alastair","AlastairAR1AllYrUP","AR1u",5,"AR1",54,NA,NA,1.42431422402562,1.42223791015798,0.139660790853571,1.02542428238416,1.29589198066894,1.55061757428722,1.81161612984128,1.00091672769774,2300
"Alastair","AlastairBasic98","BR98",3,"Basic",16,NA,NA,1.62148765859111,1.63036486810228,0.230993015853029,0.922520677443918,1.37671057435664,1.87398896351469,2.38375960258195,1.00134330509473,1900
"Alastair","AlastairBasicAllYr","BR",1,"Basic",54,NA,NA,1.36837685196286,1.37026021302729,0.131185828077368,1.03643869953822,1.24356752648109,1.48524490144858,1.74043125714885,1.00495581610735,340
"Alastair","AlastairBasicAllYrUP","BRu",2,"Basic",54,NA,NA,1.36499143440479,1.36248873022768,0.135961593075693,0.995840735221587,1.24010431068182,1.480926999402,1.73199879793338,1.00146098734882,1700
"Alastair","AlastairKalman98","KF98",9,"Kalman",16,16,2013,0.997735167463247,0.85183185214036,1.05174482800937,-0.889415493532228,0.162170940850928,1.53301433523004,2.30361110448922,1.00108479154908,6700
"Alastair","AlastairKalman98","KF98",9,"Kalman",16,11,2008,1.94331792759457,2.02953248624933,0.306293846214209,0.992838155202971,1.57464702073065,2.42764457623667,3.32342327980392,1.00089085812391,7200
"Alastair","AlastairKalmanAllYr","KF",7,"Kalman",54,7,1966,0.557705235319427,0.571882719811446,0.86481216640463,-0.35252432312777,0.196602435044482,0.965185109640651,1.45736507144784,1.00293646305587,720
"Alastair","AlastairKalmanAllYr","KF",7,"Kalman",54,49,2008,2.18254854330537,2.19688964289609,0.233581529181778,1.26483750407022,1.81748458506742,2.54847758959318,3.23899133872579,1.00439394653675,430
"Alastair","AlastairKalmanAllYrUP","KFu",8,"Kalman",54,7,1966,0.58901469566734,0.594135347023704,0.838364006365078,-0.322655088618847,0.212469627030291,0.994967447438197,1.48266728781514,1.0051483434361,350
"Alastair","AlastairKalmanAllYrUP","KFu",8,"Kalman",54,49,2008,2.15821215115649,2.18629166786502,0.241956285479033,1.25176200903513,1.789465784258,2.55669229067973,3.23744411122856,1.01128872625634,150
"Asitka","AsitkaBasic98","BR98",2,"Basic",16,NA,NA,1.34846391605326,1.33670330451601,0.350832487966586,0.397865019982195,1.01693277018515,1.64400111053181,2.2666008821171,1.00079511953399,2300
"Asitka","AsitkaBasicAllYr","BR",1,"Basic",20,NA,NA,1.23941155176619,1.22714944776931,0.291194119111935,0.511700158937427,0.987226975057827,1.45672419784339,1.92276322488537,1.00057836147511,2300
"Babine Early Wild","BabEWAR198","AR198",4,"AR1",17,NA,NA,0.194616244518829,0.218025076195378,0.986146206150825,-0.169615574818225,0.0882394291188779,0.326804684775142,0.696681167151147,1.00242973626227,810
"Babine Early Wild","BabEWAR1AllYr","AR1",3,"AR1",55,NA,NA,1.12333189440373,1.12478580415149,0.20893244459284,0.653644680490268,0.971946074036699,1.28233533348621,1.59593768269601,1.00170315528626,2100
"Babine Early Wild","BabEWBasic98","BR98",2,"Basic",17,NA,NA,0.248248456146674,0.264358662765154,1.13327714478051,-0.265759245719301,0.0563531245969421,0.455743857434547,0.890162577871259,1.00099915546663,2300
"Babine Early Wild","BabEWBasicAllYr","BR",1,"Basic",55,NA,NA,1.08316766177724,1.08142820502277,0.202399617655611,0.651603714915312,0.937141749221626,1.22534052985124,1.50473696634242,1.00069684003642,2300
"Babine Early Wild","BabEWKalman98","KF98",6,"Kalman",17,16,2013,0.159094743254906,0.139041066275,3.02077007670243,-0.789436242673044,-0.0976928010789694,0.408267494737963,0.898182405088616,1.00089078749834,7200
"Babine Early Wild","BabEWKalman98","KF98",6,"Kalman",17,1,1998,0.363609184522348,0.392605759460605,1.15550684867785,-0.435790723071029,0.0895073920207551,0.66407454669614,1.38335656622217,1.00120757655307,4300
"Babine Early Wild","BabEWKalmanAllYr","KF",5,"Kalman",55,54,2013,0.46553707660776,0.449871393688438,0.813267458326975,-0.297327265528711,0.213034483190898,0.704092948492609,1.12626590185593,1.00086962852321,7200
"Babine Early Wild","BabEWKalmanAllYr","KF",5,"Kalman",55,6,1965,1.54985565696782,1.54787430789638,0.211139490737798,0.919093997415868,1.32889707713527,1.766374092151,2.19883976958267,1.0013517350256,3100
"Babine Late Wild","BabLWAR198","AR198",4,"AR1",17,NA,NA,0.453935189544383,0.490590397838589,0.431877832667218,0.171871780015639,0.34945887387587,0.599317206666314,1.00884741419456,1.0033220722887,550
"Babine Late Wild","BabLWAR1AllYr","AR1",3,"AR1",55,NA,NA,1.20351350602974,1.21082430291873,0.203189458304732,0.771913874306611,1.03392667249712,1.37605144605012,1.70724538717964,1.00062864268059,2300
"Babine Late Wild","BabLWBasic98","BR98",2,"Basic",17,NA,NA,0.571498572032214,0.594959558224523,0.492847357774181,0.0648795553220087,0.395821384351825,0.776121224366171,1.20875868116299,1.0014595627276,1700
"Babine Late Wild","BabLWBasicAllYr","BR",1,"Basic",55,NA,NA,1.13573515720978,1.14927738248466,0.194456264677815,0.755351620630266,0.987310169784317,1.30138834979838,1.61838451204773,1.00077689104547,2300
"Babine Late Wild","BabLWKalman98","KF98",6,"Kalman",17,11,2008,0.534672779148038,0.533870283604968,0.668199379764691,-0.1900799460461,0.320339649628519,0.758250951999785,1.25970547996809,1.00153119684158,2200
"Babine Late Wild","BabLWKalman98","KF98",6,"Kalman",17,1,1998,0.667534309573633,0.701185123240535,0.605881612901628,-0.0615472826254279,0.422078586511179,0.942581715526587,1.64444656966314,1.00181435146966,1600
"Babine Late Wild","BabLWKalmanAllYr","KF",5,"Kalman",55,54,2013,0.733264106470645,0.727329220441353,0.460254581406232,0.0576903957357901,0.505222641028909,0.948207236639932,1.36836678881558,1.00086044955132,7200
"Babine Late Wild","BabLWKalmanAllYr","KF",5,"Kalman",55,4,1963,1.82833370100819,1.82707566624848,0.214829721020254,1.07404717387448,1.55949295781182,2.0867469622531,2.61176054089502,1.00089710585239,7200
"Babine Mid Wild","BabMWAR198","AR198",4,"AR1",17,NA,NA,1.17528330924698,1.16458324145485,0.44883446279341,0.155373138404086,0.815449197307362,1.51868621411761,2.14830398354206,1.0006323745756,2300
"Babine Mid Wild","BabMWAR1AllYr","AR1",3,"AR1",55,NA,NA,1.45747228088848,1.4576990234711,0.141470359527103,1.04857967754727,1.32492988304592,1.59188574891615,1.86850633634807,1.00057499833983,2300
"Babine Mid Wild","BabMWBasic98","BR98",2,"Basic",17,NA,NA,1.1006501422794,1.1176497839491,0.459785700636714,0.157688896216917,0.759817772864059,1.45712210484144,2.15638692177894,1.00091825170448,2300
"Babine Mid Wild","BabMWBasicAllYr","BR",1,"Basic",55,NA,NA,1.44708242531015,1.44752318102231,0.143158154979977,1.03330468071971,1.31516488576575,1.58587808220534,1.84657367465277,1.00075025142615,2300
"Babine Mid Wild","BabMWKalman98","KF98",6,"Kalman",17,16,2013,0.859705353197986,0.774377702904041,1.02065279155288,-1.16099090894869,0.359182250316878,1.30063375977845,2.10342536761161,1.00095303510416,7200
"Babine Mid Wild","BabMWKalman98","KF98",6,"Kalman",17,1,1998,1.34620788993279,1.38952827727079,0.519584977162633,0.082002826100073,0.912447887882388,1.81572209157276,2.92792309324925,1.00087449361382,7200
"Babine Mid Wild","BabMWKalmanAllYr","KF",5,"Kalman",55,55,2014,1.29788777562123,1.27193811854654,0.281668215847076,0.483682902349937,1.06252791722133,1.50678129347653,1.91256302273284,1.00090231451399,7200
"Babine Mid Wild","BabMWKalmanAllYr","KF",5,"Kalman",55,4,1963,1.56133289412123,1.5728930706562,0.200324216370364,0.987453145692242,1.36404286832089,1.76505926597313,2.23786964168419,1.00093619640246,7200
"Bear","BearAR198","AR98",5,"AR1",17,NA,NA,2.03027779998561,2.02852317230973,0.149318061775507,1.40845043098025,1.84123234704406,2.22739801102008,2.61014173463102,1.00168649967079,1300
"Bear","BearAR1AllYr","AR1",4,"AR1",31,NA,NA,2.04510385071367,2.0449054160838,0.0950614437459013,1.66346484620065,1.91639073836256,2.17721716653172,2.42978166200154,1.00060330442908,2300
"Bear","BearAR1AllYrUP","AR1u",6,"AR1",31,NA,NA,2.03295289024306,2.03563142867347,0.0975168821611597,1.65775832116415,1.90496956121465,2.16989542732618,2.43377169565055,1.00103417207829,2300
"Bear","BearBasic98","BR98",2,"Basic",17,NA,NA,2.04563693128086,2.03982250354217,0.141323952302771,1.45427389354088,1.85558128959161,2.22305280265951,2.60861175679525,1.00254718254184,2300
"Bear","BearBasicAllYr","BR",1,"Basic",49,NA,NA,1.97335513472455,1.97027790251824,0.0867241952623634,1.63371938145529,1.85520969797219,2.07899896633365,2.31349779649676,1.00190979645231,1100
"Bear","BearBasicAllYrUP","BRu",3,"Basic",49,NA,NA,1.97215141699427,1.97280507196614,0.0840768464757751,1.66465607666495,1.85883964363373,2.08163188035535,2.30593712020749,1.00463992699108,370
"Bear","BearKalman98","KF98",8,"Kalman",17,4,2001,1.7394360743926,1.67757358470561,0.280731632019409,0.57492543740234,1.42729481800619,2.00077723461662,2.45052386312699,1.00113258971681,5500
"Bear","BearKalman98","KF98",8,"Kalman",17,10,2007,2.26229928176998,2.30586193891224,0.176429648522069,1.57597451108772,2.0345240906388,2.53841419718447,3.26281800854412,1.00290609665309,740
"Bear","BearKalmanAllYr","KF",7,"Kalman",31,17,2000,1.89658978895929,1.8741861811832,0.148613368993969,1.26094918668516,1.70552599207307,2.06612901791275,2.35575257460995,1.00087839430168,7200
"Bear","BearKalmanAllYr","KF",7,"Kalman",31,31,2014,2.30475592333672,2.33232006567541,0.150708409600512,1.69878262548403,2.09596474545741,2.55279768398445,3.08250556781648,1.00091847122003,7200
"Bear","BearKalmanAllYrUP","KFu",9,"Kalman",31,18,2001,1.89830274954793,1.87161859716504,0.160932673482716,1.1888645337932,1.70263320347581,2.07569576456225,2.39162033929928,1.00307051192695,1200
"Bear","BearKalmanAllYrUP","KFu",9,"Kalman",31,31,2014,2.30799341815637,2.32971865683772,0.151093350414877,1.68939594471669,2.09599320059873,2.5505257405294,3.0751431845136,1.0008618324942,7200
"Damdochax","DamdochaxAR197","AR97",5,"AR1",14,NA,NA,1.92062447553448,1.90209410036863,0.102596668634684,1.46165715719929,1.7880184115087,2.03309870768305,2.23449429797043,1.00261255732843,740
"Damdochax","DamdochaxAR1AllYr","AR1",4,"AR1",29,NA,NA,1.91235735375447,1.90896784336023,0.0988659215476391,1.53211690995153,1.78202838571866,2.03529078521738,2.28803231712362,1.00056962188247,2300
"Damdochax","DamdochaxAR1AllYrUP","AR1u",6,"AR1",29,NA,NA,1.82407981105001,1.824977366946,0.123527976024119,1.39048839079049,1.67776955588218,1.97644902772354,2.276356172549,1.00099229536959,2300
"Damdochax","DamdochaxBasic97","BR97",2,"Basic",14,NA,NA,1.8580344254912,1.8532370532702,0.108750913288748,1.45797356141901,1.72428493129765,1.98354722593602,2.23307103366679,1.00068171413109,2300
"Damdochax","DamdochaxBasicAllYr","BR",1,"Basic",29,NA,NA,1.87825075541985,1.88469712982306,0.0843998394258418,1.5863250516564,1.77840993466922,1.98327827070614,2.21702070137848,1.00106282074054,2300
"Damdochax","DamdochaxBasicAllYrUP","BRu",3,"Basic",29,NA,NA,1.78068151319913,1.77926357882215,0.109778487058985,1.38823613883699,1.6512460642332,1.9061640177481,2.15676013574465,1.00291331431411,640
"Damdochax","DamdochaxKalman97","KF97",8,"Kalman",14,1,1997,1.63139170573596,1.58154313659344,0.25188886857982,0.674331656138146,1.34648685101264,1.85915652647286,2.24749524576598,1.00105487733883,7200
