"Stock","Model","ReportLabel","ReportSeq","YrIdx","Year","SpnLabel","Spn","Median","Mean","p10","p25","p75","p90","SpnSeq"
"Alastair","AlastairAR198","AR198",6,NA,NA,"AtMinObs",983,4.9,5.4,3.1,3.8,6.3,8.1,1
"Alastair","AlastairAR1AllYr","AR1",4,NA,NA,"AtMinObs",983,4,4.1,3.1,3.5,4.6,5.1,1
"Alastair","AlastairAR1AllYrUP","AR1u",5,NA,NA,"AtMinObs",983,4,4,3.1,3.5,4.5,5,1
"Alastair","AlastairBasic98","BR98",3,NA,NA,"AtMinObs",983,4.9,5.2,3.1,3.8,6.2,7.8,1
"Alastair","AlastairBasicAllYr","BR",1,NA,NA,"AtMinObs",983,3.8,3.8,3,3.3,4.2,4.7,1
"Alastair","AlastairBasicAllYrUP","BRu",2,NA,NA,"AtMinObs",983,3.7,3.8,3,3.3,4.2,4.7,1
"Alastair","AlastairKalman98","KF98",9,16,2013,"AtMinObs",983,2.6,3.2,0.6,1.1,4.4,6.4,1
"Alastair","AlastairKalman98","KF98",9,11,2008,"AtMinObs",983,6.7,9,3.5,4.6,10.8,18.4,1
"Alastair","AlastairKalmanAllYr","KF",7,7,1966,"AtMinObs",983,1.7,1.9,0.9,1.2,2.5,3.2,1
"Alastair","AlastairKalmanAllYr","KF",7,49,2008,"AtMinObs",983,8.5,9.8,4.4,5.9,12.2,17.1,1
"Alastair","AlastairKalmanAllYrUP","KFu",8,7,1966,"AtMinObs",983,1.7,1.9,0.9,1.2,2.6,3.3,1
"Alastair","AlastairKalmanAllYrUP","KFu",8,49,2008,"AtMinObs",983,8.2,9.8,4.4,5.7,12.3,17.6,1
"Alastair","AlastairAR198","AR198",6,NA,NA,"At100",100,5.1,5.6,3.2,4,6.6,8.5,2
"Alastair","AlastairAR1AllYr","AR1",4,NA,NA,"At100",100,4.2,4.3,3.2,3.6,4.8,5.4,2
"Alastair","AlastairAR1AllYrUP","AR1u",5,NA,NA,"At100",100,4.1,4.2,3.2,3.6,4.7,5.3,2
"Alastair","AlastairBasic98","BR98",3,NA,NA,"At100",100,5,5.5,3.2,3.9,6.5,8.2,2
